signal_date,signal_ticker,exec_ticker,exchange,side,qty,currency,price,value,reason
2026-07-31,DBC,ZCOM,Cboe CA,BUY,461,CAD,36.0800,16632.88,HAA_G12 signal of 2026-07-31
2026-07-31,EWJ,ZJPN,TSX,BUY,335,CAD,49.6300,16626.05,HAA_G12 signal of 2026-07-31
2026-07-31,IWM,ZSML,TSX,BUY,309,CAD,53.7700,16614.93,HAA_G12 signal of 2026-07-31
2026-07-31,SPY,ZSP,TSX,BUY,144,CAD,114.9700,16555.68,HAA_G12 signal of 2026-07-31
2026-07-31,VGK,XEU,TSX,BUY,402,CAD,41.4000,16642.80,HAA_G12 signal of 2026-07-31
2026-07-31,VNQ,CGR,TSX,BUY,492,CAD,33.8200,16639.44,HAA_G12 signal of 2026-07-31
2026-08-31,VNQ,CGR,TSX,SELL,492,CAD,32.3600,15921.12,HAA_G12 signal of 2026-08-31
2026-08-31,VGK,XEU,TSX,SELL,402,CAD,41.3700,16630.74,HAA_G12 signal of 2026-08-31
2026-08-31,DBC,ZCOM,Cboe CA,SELL,461,CAD,38.4900,17743.89,HAA_G12 signal of 2026-08-31
2026-08-31,EWJ,ZJPN,TSX,SELL,335,CAD,50.4700,16907.45,HAA_G12 signal of 2026-08-31
2026-08-31,IWM,ZSML,TSX,SELL,309,CAD,53.3600,16488.24,HAA_G12 signal of 2026-08-31
2026-08-31,SPY,ZSP,TSX,SELL,144,CAD,116.8300,16823.52,HAA_G12 signal of 2026-08-31
2026-08-31,,FX CAD->USD,,CONVERT,72698.10,USD,1.3866,100803.18,funding for the HAA_G12 signal of 2026-08-31
2026-08-31,BIL,UBIL.U,TSX,BUY,1453,USD,50.0150,72671.79,HAA_G12 signal of 2026-08-31
